EmpID,FirstName,LastName,Department,JobRole,HireDate,TerminationDate,Salary,Gender,JobSatisfaction,Attrition
10025,Bob,Doe,Sales,Director,2022-05-12,,139792,Male,3,No
10026,John,Doe,R&D,Developer,2017-03-24,,86444,Male,4,No
10027,John,Johnson,Sales,Director,2020-05-02,,80775,Male,2,No
10028,Jane,Doe,HR,Manager,2018-03-28,,54884,Male,3,No
10029,John,Johnson,HR,HR Rep,2015-01-29,,78762,Female,4,No
10030,Frank,Johnson,R&D,Director,2022-06-02,,146307,Male,1,No
10031,John,Doe,R&D,HR Rep,2017-12-30,,91186,M,4,No
10032,Frank,Miller,R&D,Manager,2017-04-26,,66785,Female,1,No
10033,Bob,Wilson,Sales,Salesperson,2019-05-06,,113682,M,4,No
10034,Jane,Doe,HR,Director,2017-08-19,,93072,Male,4,No
10035,Diana,Wilson, saLes ,HR Rep,2019-06-07,,135419,Male,2,No
10036,Alice,Wilson,R&D,Manager,2018-12-29,,74152,Male,4,yes
10037,Eve,Brown,Sales,Director,2019-02-02,,126744,Female,1,No
10038,John,Miller,HR,Developer,2020-04-21,,69368,F,3,No
10039,Diana,Smith,R&D,Developer,2018-02-24,,90549,Male,4,No
10040,Eve,Davis,R&D,Analyst,2020-06-12,,129840,Female,1,No
10041,Frank,Johnson, saLes ,HR Rep,2016-05-22,,78787,Female,1,No
10042,Charlie,Wilson,R&D,Analyst,2018-05-01,,108033,Male,2,No
10043,John,Davis,HR,Manager,01/19/2019,,139736,F,2,No
10044,Frank,Wilson,Sales,Salesperson,2022-10-18,2025-12-09,119602,M,2,Yes
10045,Alice,Brown,HR,Salesperson,2022-06-06,,101331,M,3,yes
10046,Frank,Johnson, HR,Salesperson,2020-10-20,,51983,M,2,No
10047,John,Wilson,Sales,Director,01/04/2022,,119594,M,3,No
10048,Eve,Wilson,HR,Developer,2016-08-13,,139778,Male,3,No
10049,Eve,Johnson, HR,Director,2021-08-29,,,F,3,No
10050,Bob,Doe,HR,Salesperson,2018-02-08,,132202,M,4,No
10051,Diana,Brown, saLes ,Salesperson,2018-06-17,,46138,F,1,No
10052,Eve,Wilson, HR,Analyst,2015-01-30,,119636,M,4,No
10053,Charlie,Doe,HR,Salesperson,2016-08-11,,61492,M,2,No
10054,Frank,Brown, HR,Developer,2021-04-03,2024-02-10,51638,M,3,Yes
10055,Charlie,Miller,Sales,Salesperson,2020-10-24,2023-06-12,,F,3,Yes
10056,Eve,Smith,Sales,Director,2018-04-12,2021-04-25,112960,M,4,Yes
10057,Alice,Doe,Sales,Salesperson,2019-10-15,,95758,Female,3,No
10058,Eve,Wilson,R&D,HR Rep,2020-06-28,,89729,Male,2,No
10059,Alice,Brown,Sales,Manager,2017-07-27,,47498,M,4,No
10060,Diana,Smith, saLes ,Manager,2021-01-24,,41154,F,4,No
10061,Bob,Davis,R&D,Salesperson,2023-01-30,,56350,Female,2,No
10062,Bob,Miller,Sales,Manager,2017-09-14,,73260,M,1,No
10063,Eve,Doe, HR,Manager,2023-01-07,,111271,M,3,No
10064,Eve,Doe, HR,Salesperson,2017-11-09,,,Male,3,No
10065,Frank,Davis,Sales,Manager,2015-02-11,,102066,Female,4,No
10066,Alice,Smith,R&D,Manager,2017-03-10,2018-04-20,87129,F,2,Yes
10067,Alice,Smith, HR,Analyst,2020-01-26,2020-05-11,76335,F,2,Yes
10068,Charlie,Smith,R&D,Salesperson,2021-11-27,2024-10-10,106153,Female,4,Yes
10069,Alice,Johnson,HR,Director,04/04/2021,,82031,F,1,No
10070,Eve,Wilson, saLes ,Analyst,2020-05-09,,43848,M,2,No
10071,Charlie,Davis, saLes ,Manager,2016-05-06,,149303,M,1,No
10072,Alice,Miller,R&D,Salesperson,2019-06-15,,88821,F,3,No
10073,Diana,Johnson,R&D,Manager,2018-10-14,,68074,Female,2,No
10074,Diana,Davis,R&D,Manager,2018-03-02,,141092,Female,1,No
10075,Eve,Davis, HR,Analyst,05/13/2020,,128574,Female,2,No
10076,Jane,Wilson,R&D,Developer,2022-02-07,,102546,F,4,yes
10077,Jane,Johnson,Sales,Developer,2022-07-18,2023-07-17,64461,F,3,Yes
10078,Jane,Smith,R&D,Salesperson,06/24/2018,,56928,M,3,No
10079,Frank,Brown,R&D,Director,2021-01-26,2024-12-28,60650,Female,3,Yes
10080,Frank,Miller,Sales,Analyst,2015-04-01,,54437,Male,2,No
10081,Alice,Miller,R&D,Manager,2019-01-23,,51160,M,3,No
10082,Frank,Miller, HR,Developer,2016-04-29,2019-08-22,94347,Male,2,Yes
10083,John,Smith,R&D,Director,2021-09-29,2023-06-02,50875,Male,1,Yes
10084,Jane,Smith,HR,Developer,2018-06-07,,50046,Female,1,No
10085,John,Johnson, saLes ,Developer,2019-01-09,,,Male,1,No
10086,Diana,Smith,R&D,HR Rep,2019-04-04,,103540,F,2,yes
10087,Diana,Doe,R&D,HR Rep,2020-09-24,,82581,Male,1,No
10088,Alice,Brown,Sales,Director,2020-08-02,,110566,Female,3,No
10089,Bob,Johnson, saLes ,Director,2020-08-15,,118297,M,3,yes
10090,Alice,Johnson,HR,Director,2016-06-30,,81013,F,2,No
10091,Bob,Davis,Sales,Salesperson,2015-05-08,,,F,2,No
10092,Eve,Miller, HR,HR Rep,2021-06-15,2024-02-22,84494,Male,1,Yes
10093,Charlie,Miller, saLes ,Analyst,2015-02-09,,82502,Female,1,No
10094,Diana,Miller, saLes ,Salesperson,2023-01-17,2024-01-12,92003,M,2,Yes
10095,Frank,Brown,HR,Salesperson,2015-07-06,,80672,Female,4,No
10096,Charlie,Smith,Sales,Director,2021-11-20,,82542,M,3,No
10097,Jane,Johnson, saLes ,HR Rep,2019-04-09,,106010,Male,2,No
10098,John,Johnson,Sales,Manager,2017-06-06,2021-03-23,95963,Male,2,Yes
10099,John,Wilson,R&D,Director,2022-02-03,,61914,M,4,No
10100,Jane,Wilson, saLes ,Manager,2020-07-30,,62700,Female,2,No
10101,Alice,Davis,R&D,Director,2019-02-25,,82114,Female,1,No
10102,Diana,Davis, saLes ,HR Rep,2015-02-05,,149005,F,4,No
10103,Eve,Doe,HR,Director,2017-01-21,,112958,Female,3,No
10104,Bob,Brown,HR,Director,2017-09-11,2019-07-01,80694,Female,3,Yes
10105,Eve,Miller,R&D,Manager,2021-02-03,2021-10-15,53904,Female,1,Yes
10106,Jane,Davis,R&D,HR Rep,2021-02-03,,,F,3,No
10107,Diana,Miller,R&D,Salesperson,2020-09-04,,128363,M,4,No
10108,Jane,Johnson,R&D,Salesperson,2017-12-03,2018-10-12,71807,Male,4,Yes
10109,Jane,Smith,R&D,Salesperson,2020-11-29,,93068,F,2,No
10110,Jane,Davis,HR,Developer,2020-08-24,,130534,Female,3,No
10111,Bob,Davis,Sales,Manager,2020-04-23,,44829,Male,2,No
10112,Diana,Smith, saLes ,Manager,2022-02-08,,115570,M,1,No
10113,John,Smith, saLes ,Developer,2020-03-05,,61324,Female,1,No
10114,Bob,Johnson, saLes ,Manager,2019-10-18,,112338,F,3,No
10115,Alice,Davis,Sales,Developer,2015-06-10,,111527,Female,4,No
10116,Bob,Johnson,Sales,HR Rep,2017-12-22,,127899,Female,3,No
10117,John,Smith, HR,Developer,2018-03-31,,87477,Male,4,No
10118,John,Smith,R&D,Director,2015-12-10,,54999,Female,3,No
10119,Bob,Brown,R&D,Analyst,01/30/2015,,75325,M,1,No
10120,Diana,Davis, HR,Manager,2016-07-24,,103173,F,3,No
10121,Charlie,Doe,Sales,HR Rep,2020-03-28,,90673,M,4,No
10122,Jane,Doe, HR,Manager,2016-10-20,,145966,F,2,No
10123,Jane,Brown,HR,HR Rep,2016-03-02,,82449,M,4,No
10124,Alice,Davis,HR,Salesperson,2016-12-06,,87231,F,4,No
10125,Diana,Davis,R&D,Analyst,2021-02-16,,86290,M,3,No
10126,John,Smith, HR,Manager,2017-10-15,,116542,Female,3,No
10127,Charlie,Smith,R&D,Salesperson,2021-08-07,,42901,F,1,yes
10128,John,Davis, saLes ,Analyst,2023-01-31,,41504,Female,3,No
10129,Charlie,Miller, HR,Manager,2017-04-01,2020-10-23,105448,F,3,Yes
10130,Frank,Miller, HR,Analyst,2015-05-18,2018-02-07,97117,M,1,Yes
10131,Frank,Brown, HR,HR Rep,2018-01-19,,72497,Male,1,No
10132,John,Wilson,R&D,HR Rep,2022-09-04,,41129,Male,1,No
10133,Diana,Johnson,R&D,Developer,2017-02-07,,111859,F,3,No
10134,Alice,Doe,Sales,Salesperson,2019-11-05,,128608,Male,3,No
10135,Diana,Doe,R&D,Director,2017-07-20,,68597,F,1,No
10136,Charlie,Johnson, saLes ,Analyst,2018-05-30,,,Female,2,No
10137,John,Doe, HR,Salesperson,2016-07-19,,111017,M,3,No
10138,Eve,Miller,HR,Salesperson,02/14/2023,,84781,F,1,No
10139,Alice,Brown,R&D,Director,2020-06-21,,69693,Female,4,No
10140,Alice,Johnson, saLes ,Salesperson,2017-06-17,,143004,Female,2,No
10141,Bob,Johnson, saLes ,Director,2020-06-11,,92483,M,2,No
10142,Bob,Wilson,R&D,Analyst,2022-12-07,,135054,F,2,No
10143,Eve,Wilson, saLes ,Manager,04/23/2017,,120790,Female,2,yes
10144,Diana,Johnson,Sales,Developer,08/08/2015,,76296,Male,1,No
10145,Jane,Brown,R&D,Director,2019-12-17,2020-07-19,95820,Male,3,Yes
10146,Diana,Doe,HR,Analyst,2019-07-18,,149217,F,3,No
10147,Bob,Wilson,HR,Analyst,12/08/2021,,94056,Male,4,No
10148,Eve,Smith, saLes ,Salesperson,2017-04-30,,139808,F,2,No
10149,Frank,Davis,Sales,Salesperson,2020-08-18,,138929,Male,4,No
10150,Bob,Smith, HR,Salesperson,2021-04-24,2023-10-21,122222,F,4,Yes
10151,Alice,Miller,R&D,Developer,2019-07-12,,57122,Female,3,No
10152,Diana,Miller,R&D,Analyst,2017-07-10,,114239,Female,3,No
10153,John,Johnson,R&D,Salesperson,2015-04-23,,125034,M,4,No
10154,Diana,Brown,HR,Manager,2019-07-18,2020-10-17,45803,M,1,Yes
10155,Alice,Smith,HR,Director,2015-02-02,2018-11-29,85838,M,2,Yes
10156,Frank,Davis,R&D,Salesperson,2015-01-13,,91666,Female,1,No
10157,Charlie,Wilson,R&D,Manager,2021-05-27,,137186,M,3,No
10158,John,Brown,R&D,HR Rep,2019-02-28,,130446,Male,1,No
10159,Eve,Miller, HR,HR Rep,2017-06-18,,112022,Male,4,No
10160,Frank,Wilson,R&D,Developer,2020-07-13,,102191,F,2,No
10161,Diana,Smith,R&D,Manager,2018-08-30,,120730,Female,2,No
10162,John,Johnson, saLes ,Developer,2019-08-16,,86518,F,4,No
10163,Charlie,Smith,R&D,Developer,2018-09-13,2019-03-11,85346,M,1,Yes
10164,Bob,Wilson,HR,HR Rep,2019-02-09,,109931,M,3,No
10165,Bob,Miller,HR,Manager,2017-01-16,,55591,F,2,No
10166,Charlie,Wilson,HR,Manager,2016-09-20,,93973,F,2,No
10167,Eve,Miller,Sales,Salesperson,2021-11-19,,129438,M,1,No
10168,Jane,Johnson,HR,Manager,2015-09-04,,125175,M,1,No
10169,Jane,Smith, saLes ,Director,2015-04-23,,75995,Female,1,No
10170,John,Miller, saLes ,HR Rep,2017-07-11,,90715,Male,4,No
10171,John,Miller, saLes ,Director,2018-12-30,,71387,Male,2,No
10172,Jane,Johnson,HR,HR Rep,2016-09-07,,44172,F,4,No
10173,Jane,Davis, HR,Manager,09/23/2017,2021-01-17,134944,Female,3,Yes
10174,Bob,Wilson,R&D,Manager,2018-05-02,,88318,M,4,yes
10175,John,Johnson,R&D,HR Rep,2022-08-07,,80379,F,2,No
10176,Eve,Smith,R&D,HR Rep,2019-07-22,2021-07-02,106355,Male,1,Yes
10177,Jane,Johnson, HR,Developer,2016-05-18,,76860,Female,2,No
10178,Charlie,Doe,R&D,Manager,2018-10-09,,143859,M,3,No
10179,John,Johnson,R&D,Developer,2022-07-21,,,Male,3,No
10180,Frank,Davis,HR,Developer,2020-09-12,,58716,Female,3,No
10181,Bob,Brown,R&D,Manager,2022-06-22,,,M,1,No
10182,John,Miller, HR,Director,2020-07-10,,102897,Female,1,No
10183,Charlie,Davis,Sales,HR Rep,2016-12-17,,40035,M,4,No
10184,Frank,Wilson,HR,Manager,2020-09-27,,116664,F,1,No
10185,Jane,Davis,HR,HR Rep,2020-11-03,,135555,M,3,No
10186,Charlie,Johnson,R&D,HR Rep,2015-10-08,,148197,F,1,No
10187,Jane,Smith, HR,Director,2016-08-04,,83696,M,2,No
10188,Charlie,Davis, saLes ,Director,2020-08-08,,55588,Female,3,No
10189,Bob,Brown,R&D,Analyst,2022-12-25,,54800,Male,2,No
10190,John,Davis,Sales,Manager,2015-02-10,,84265,F,1,No
10191,Alice,Johnson,R&D,HR Rep,2022-03-02,,75182,Male,3,No
10192,Charlie,Wilson,Sales,Developer,2020-05-25,,93316,F,4,No
10193,Frank,Doe, HR,Director,2015-08-27,,100253,M,1,No
10194,Alice,Miller, HR,Analyst,2020-08-04,2022-08-08,109006,F,4,Yes
10195,Bob,Smith,HR,Manager,2019-05-28,,57377,Female,4,No
10196,Jane,Smith, HR,HR Rep,2021-07-06,,,Female,1,No
10197,Frank,Miller,HR,Developer,12/30/2020,,85715,Male,2,No
10198,Jane,Smith, HR,Analyst,2023-02-12,,50569,Male,3,No
10199,Frank,Wilson,R&D,Analyst,10/23/2018,,44521,Female,1,No
10200,Diana,Wilson,HR,HR Rep,2019-07-02,,49211,F,3,No
10201,Eve,Davis,R&D,Analyst,2023-01-03,,51826,F,1,No
10202,Diana,Brown,R&D,Manager,2017-03-15,,139683,F,3,No
10203,Diana,Doe,Sales,Manager,2018-08-23,,51046,M,3,No
10204,Alice,Doe, saLes ,Director,2020-09-11,2021-03-28,62560,M,2,Yes
10205,Bob,Davis, HR,Manager,2022-07-01,,110717,Female,3,yes
10206,Alice,Brown,Sales,Developer,2015-02-19,,149109,F,3,No
10207,Charlie,Miller, saLes ,HR Rep,2016-05-08,,88408,Male,1,No
10208,Frank,Johnson, HR,Salesperson,12/04/2019,,138851,F,1,No
10209,Bob,Brown, HR,Manager,2020-07-25,,78887,M,3,No
10210,John,Miller, HR,Developer,2015-06-04,,84391,Male,2,No
10211,John,Wilson,Sales,Salesperson,2020-06-21,,46434,Male,2,No
10212,Charlie,Davis, saLes ,Analyst,2017-08-16,,89828,F,3,No
10213,John,Brown, saLes ,Salesperson,2022-04-16,,55931,M,1,No
10214,Alice,Miller, saLes ,Director,2016-04-29,,,Female,3,No
10215,Eve,Wilson,Sales,Director,2020-10-04,,41971,Male,3,No
10216,Bob,Brown,Sales,Analyst,2016-02-04,,86052,Female,1,No
10217,Eve,Davis, HR,Director,2020-09-03,,83330,Female,4,No
10218,John,Brown, HR,Manager,2018-03-09,2020-01-02,75884,M,4,Yes
10219,Charlie,Miller,Sales,Director,2022-10-25,2024-05-06,132338,M,1,Yes
10220,Bob,Wilson,R&D,Director,2020-01-31,,71714,F,3,No
10221,Bob,Doe, saLes ,Salesperson,12/11/2015,,132475,Male,3,No
10222,Eve,Johnson,HR,Director,05/17/2019,,54454,M,4,No
10223,John,Johnson,R&D,Manager,2022-03-07,,56122,Male,1,No
10224,Alice,Johnson, HR,Developer,2020-09-01,,145222,Male,1,No
10225,Frank,Miller,Sales,Developer,2019-03-29,,40769,Female,3,No
10226,Diana,Smith, HR,Director,2017-04-30,,126457,Female,3,No
10227,Jane,Johnson,HR,Manager,2017-12-05,,,Male,1,No
10228,John,Wilson, saLes ,Salesperson,2015-06-28,,104299,Male,3,No
10229,Frank,Miller,R&D,Salesperson,2016-08-29,,125283,F,4,No
10230,Charlie,Doe,HR,Manager,2022-06-11,,61504,Female,4,No
10231,Jane,Brown,Sales,Salesperson,2015-09-03,,96154,Female,1,No
10232,John,Brown, saLes ,Analyst,10/08/2017,,147949,Female,4,No
10233,Jane,Doe,R&D,Salesperson,2017-04-22,,110985,M,2,No
10234,Diana,Davis,R&D,HR Rep,2016-03-15,2016-07-13,140717,Male,4,Yes
10235,John,Brown, HR,Salesperson,10/14/2018,,89543,M,1,No
10236,Frank,Johnson,Sales,Analyst,2016-07-15,,78569,F,4,No
10237,Alice,Smith,Sales,Analyst,08/04/2016,,134924,F,3,No
10238,John,Davis,HR,Analyst,2016-10-12,2017-11-14,136768,M,3,Yes
10239,Eve,Johnson,R&D,HR Rep,2020-03-08,,79949,M,2,No
10240,Jane,Davis,R&D,Developer,2020-10-14,,114123,Male,1,No
10241,Frank,Brown,HR,Manager,2022-03-12,,117971,M,1,No
10242,Bob,Johnson,HR,Salesperson,04/27/2018,,102286,Female,2,No
10243,Bob,Wilson, saLes ,Analyst,2019-06-04,,,Male,4,No
10244,Frank,Smith,Sales,Manager,2020-11-01,,96807,F,4,No
10245,Jane,Brown,R&D,Analyst,07/17/2022,2025-06-09,123148,F,3,Yes
10246,Frank,Davis,R&D,Analyst,2018-09-14,,88321,M,2,No
10247,Bob,Brown, saLes ,Developer,2015-09-19,2018-08-21,111008,F,3,Yes
10248,Diana,Johnson,Sales,Manager,2018-01-03,,135976,Male,4,No
10249,Alice,Smith,R&D,Developer,2022-11-25,,132317,Male,2,No
10250,Diana,Doe,HR,Director,2023-03-06,,79322,M,4,No
10251,Charlie,Brown,R&D,HR Rep,2019-01-02,2021-03-18,58578,F,3,Yes
10252,Eve,Davis,R&D,HR Rep,2015-08-25,,123703,M,4,No
10253,Charlie,Miller,HR,Manager,2017-06-13,,136109,F,4,No
10254,Jane,Smith,R&D,HR Rep,2020-10-24,,95460,F,3,No
10255,Charlie,Doe, saLes ,Manager,2016-07-02,,148296,M,2,No
10256,Jane,Johnson, HR,Developer,2016-07-19,,67943,Male,3,No
10257,John,Brown,R&D,Developer,08/21/2016,,53077,M,3,No
10258,Alice,Johnson,R&D,Manager,2022-04-17,,,F,3,No
10259,Charlie,Johnson, saLes ,HR Rep,2021-06-15,2025-07-08,99796,F,1,Yes
10260,Charlie,Brown,HR,Director,2021-08-06,,75691,Male,3,No
10261,Alice,Johnson,R&D,HR Rep,2022-02-15,,121627,M,1,No
10262,Eve,Johnson, saLes ,Director,2018-05-05,,42786,F,2,yes
10263,Charlie,Smith, saLes ,Director,2018-09-17,,110606,Male,3,No
10264,Bob,Smith, HR,Analyst,2021-12-07,,56803,Male,1,No
10265,Eve,Brown,Sales,Developer,12/18/2021,,68908,F,1,No
10266,Jane,Miller,R&D,Developer,2019-10-20,,123273,Female,2,No
10267,Jane,Miller,R&D,Salesperson,2020-11-20,,92832,M,1,No
10268,Charlie,Smith,R&D,HR Rep,2016-05-13,,122691,M,1,No
10269,Bob,Davis,HR,Salesperson,03/04/2019,,91166,Female,1,No
10270,John,Smith,R&D,Salesperson,2017-10-18,2020-03-14,87180,M,2,Yes
10271,Eve,Smith, HR,Manager,2019-10-28,,137649,Female,4,yes
10272,John,Johnson, saLes ,HR Rep,2022-06-29,,100659,M,2,No
10273,Diana,Brown,HR,Salesperson,2016-02-23,,137693,F,3,No
10274,Jane,Johnson,R&D,Analyst,2022-06-12,,81314,Male,3,No
10275,Jane,Davis, HR,Salesperson,2016-06-23,,87309,Male,2,No
10276,Bob,Johnson,R&D,HR Rep,2019-05-30,2021-08-11,117117,F,2,Yes
10277,Frank,Davis,R&D,Developer,2022-04-06,,149342,M,1,No
10278,Frank,Wilson,R&D,Manager,12/01/2022,,125794,Female,4,No
10279,Charlie,Smith,R&D,Salesperson,2016-03-30,,,Male,2,No
10280,John,Wilson,Sales,Salesperson,2022-10-16,,137951,Female,4,No
10281,Jane,Johnson,R&D,Analyst,2015-03-20,,73396,F,3,No
10282,Jane,Brown,R&D,Director,2015-11-25,,47687,Female,1,No
10283,Diana,Smith,R&D,Manager,2021-03-08,,140318,F,2,No
10284,John,Davis,R&D,Analyst,2018-03-17,,65990,Male,2,No
10285,John,Doe, saLes ,Analyst,2017-02-11,,126321,M,3,No
10286,Charlie,Brown,R&D,Director,2017-03-06,2020-07-10,136612,Female,3,Yes
10287,Frank,Smith,HR,Manager,2022-01-06,2024-08-25,,M,2,Yes
10288,Jane,Brown, HR,Manager,2019-06-11,,,Female,1,No
10289,Frank,Brown, saLes ,Manager,2021-10-03,,145318,M,3,No
10290,Jane,Davis,R&D,Salesperson,2019-10-07,,114395,F,3,No
10291,Bob,Wilson,R&D,Salesperson,2019-04-11,2022-06-09,67377,M,3,Yes
10292,Eve,Johnson,Sales,Developer,2020-10-20,,60038,M,4,No
10293,Bob,Davis,Sales,Manager,2021-09-04,,85953,Female,3,No
10294,Frank,Smith,HR,Developer,2021-12-15,2022-04-17,76331,Male,2,Yes
10295,Alice,Smith,HR,Director,2023-03-09,,73831,Male,3,No
10296,Bob,Wilson, saLes ,Analyst,2021-03-20,,121636,F,2,No
10297,Bob,Brown,R&D,HR Rep,2020-01-09,,107942,F,1,No
10298,Eve,Wilson,R&D,Developer,2021-06-03,2024-06-22,62318,M,2,Yes
10299,Alice,Smith,HR,HR Rep,2019-11-26,,92680,M,3,No
10300,Alice,Smith,R&D,Manager,2021-10-19,,93485,F,4,No
10301,Frank,Doe,R&D,Analyst,2021-02-22,,44604,M,3,No
10302,Frank,Miller,Sales,Manager,2018-02-12,,127326,Male,2,No
10303,Diana,Miller,R&D,Salesperson,2020-11-21,,102011,F,4,No
10304,Eve,Davis, HR,Salesperson,2022-10-11,,126089,Male,1,No
10305,Alice,Davis,R&D,Analyst,2016-10-21,,107222,Female,3,No
10306,Alice,Miller, HR,Director,07/28/2019,,130641,Male,2,No
10307,Eve,Brown,R&D,Analyst,2022-08-08,,75464,M,2,No
10308,Eve,Miller,R&D,Salesperson,2016-08-04,2018-03-09,104715,M,2,Yes
10309,Alice,Miller,R&D,Analyst,2017-06-11,,55600,M,4,No
10310,Alice,Davis, saLes ,Manager,2019-04-21,,65505,M,2,No
10311,Eve,Wilson,HR,Analyst,2016-07-11,,109792,Male,2,No
10312,Eve,Brown,Sales,Analyst,2016-02-04,2017-10-07,138951,M,1,Yes
10313,Jane,Doe,R&D,HR Rep,2019-04-02,,67373,F,3,No
10314,John,Smith, saLes ,HR Rep,2016-11-06,2017-12-29,95966,F,1,Yes
10315,Eve,Miller,R&D,Developer,2018-06-11,2020-06-14,115328,Female,4,Yes
10316,John,Johnson,Sales,Director,2021-05-21,,139762,M,1,No
10317,Charlie,Davis, saLes ,HR Rep,2020-12-02,2022-12-23,46022,M,1,Yes
10318,Eve,Wilson,Sales,Developer,2022-01-20,,,Female,2,No
10319,Jane,Johnson,HR,Salesperson,2023-03-03,,58416,Female,1,No
10320,Diana,Smith, HR,Salesperson,2021-09-02,,130325,Female,4,No
10321,Bob,Brown,R&D,HR Rep,2016-04-02,,88903,Male,2,No
10322,Charlie,Smith,R&D,Director,2023-01-31,,51715,M,3,No
10323,Jane,Brown, saLes ,Analyst,2019-09-30,,108905,M,1,No
10324,Frank,Doe,R&D,Analyst,2015-05-27,,138204,M,4,No
10325,Charlie,Smith,R&D,HR Rep,2016-03-11,,147061,Male,3,No
10326,Eve,Davis, saLes ,Salesperson,2016-11-27,,127590,Female,4,No
10327,Alice,Wilson,HR,Director,2022-03-03,,107116,M,4,No
10328,Alice,Brown,HR,Analyst,2016-01-16,2018-08-24,,Male,4,Yes
10329,John,Miller, HR,Manager,06/20/2016,,63669,M,2,No
10330,Jane,Brown,R&D,Developer,2021-03-04,,61600,M,4,No
10331,Eve,Smith, HR,Analyst,2017-10-12,,94177,F,3,No
10332,Diana,Miller,R&D,Developer,08/22/2022,,67126,F,1,No
10333,Eve,Wilson,Sales,Director,2021-07-26,,,Female,2,No
10334,Alice,Miller,HR,Salesperson,09/18/2018,,141962,Female,2,No
10335,Bob,Smith, HR,Director,2022-07-07,,143650,Male,3,No
10336,Bob,Johnson,Sales,Developer,2017-03-19,2020-12-02,,M,1,Yes
10337,Diana,Davis,Sales,HR Rep,2018-11-07,,93336,M,1,No
10338,John,Miller, HR,Manager,2017-01-10,2021-02-07,,Female,4,Yes
10339,Eve,Johnson,R&D,Developer,2022-08-14,,81882,Female,2,No
10340,Jane,Johnson, HR,Manager,06/04/2022,,61526,Female,4,No
10341,Jane,Doe,R&D,Director,2020-03-10,,74365,F,4,No
10342,Jane,Doe, HR,Manager,2018-07-08,,71047,F,1,No
10343,Jane,Doe,Sales,Director,2016-07-22,,144234,Male,1,No
10344,John,Johnson,Sales,HR Rep,2017-05-21,,115444,F,4,No
10345,Alice,Miller, HR,HR Rep,11/21/2016,,97012,M,3,No
10346,Jane,Brown,HR,Analyst,2023-02-01,,107864,Male,1,No
10347,Jane,Doe, saLes ,Director,2019-02-25,2022-02-02,136649,Male,2,yes
10348,Frank,Brown, HR,HR Rep,2020-02-06,,48050,F,2,No
10349,Charlie,Smith, HR,HR Rep,2021-01-09,,135344,F,2,No
10350,Charlie,Doe,Sales,Developer,11/19/2021,,63683,Male,2,No
10351,John,Johnson,HR,HR Rep,2019-04-18,,44184,F,3,No
10352,Eve,Davis,HR,Developer,2016-11-25,,112481,Female,1,No
10353,Frank,Miller,HR,Analyst,2016-06-12,,91392,M,4,No
10354,Bob,Davis,R&D,Developer,2022-04-29,,143323,Male,2,No
10355,Diana,Wilson, saLes ,Analyst,2015-11-12,,42051,M,4,No
10356,Charlie,Doe, HR,HR Rep,2022-01-01,,78753,M,3,No
10357,Eve,Brown,Sales,Manager,2019-05-31,,61688,Male,3,No
10358,Frank,Davis, saLes ,Director,2020-01-25,,119895,F,3,No
10359,Frank,Miller,R&D,Developer,2021-10-13,,107048,M,3,No
10360,Frank,Miller, HR,Manager,2020-10-17,,73088,F,4,No
10361,Eve,Smith, HR,Manager,2016-03-24,2017-04-01,54308,M,2,Yes
10362,Diana,Smith,R&D,Developer,2015-11-30,,84210,F,1,No
10363,Alice,Miller, saLes ,Manager,2022-11-13,,87722,F,2,No
